Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10076,A,456,57.70446,11.9682,57.70274,11.96346,38.556,Vertical,0.34109,0.3,0.3
10076,B,455,57.70274,11.96346,57.70446,11.9682,37.058,Vertical,0.34109,0.3,0.3
10077,A,439,57.66302,11.91512,57.65667,11.9206,29.2705,Vertical,0.77884,0.3,0.3
10077,B,440,57.65667,11.9206,57.66302,11.91512,28.2625,Vertical,0.77884,0.3,0.3
10078,A,606,57.75251,12.03854,57.76032,12.04054,29.1865,Vertical,0.87822,0.3,0.3
10078,B,605,57.76032,12.04054,57.75251,12.03854,28.1785,Vertical,0.87822,0.3,0.3
10079,A,309,57.65502,11.90671,57.65076,11.91455,28.1785,Vertical,0.66624,0.3,0.3
10079,B,310,57.65076,11.91455,57.65502,11.90671,29.1865,Vertical,0.66624,0.3,0.3
10080,A,234,57.75704,12.05544,57.76032,12.04054,38.5,Vertical,0.95977,0.3,0.3
10080,B,233,57.76032,12.04054,57.75704,12.05544,37.24,Vertical,0.95977,0.3,0.3
10081,A,329,57.72584,11.89459,57.72355,11.8898,37.212,Vertical,0.38247,0.3,0.3
10081,B,328,57.72355,11.8898,57.72584,11.89459,38.472,Vertical,0.38247,0.3,0.3
10082,A,406,57.72917,11.97188,57.72285,11.97265,28.2065,Vertical,0.70529,0.3,0.3
10082,B,405,57.72285,11.97265,57.72917,11.97188,29.2145,Vertical,0.70529,0.3,0.3
10083,A,558,57.75687,12.03345,57.76032,12.04054,38.528,Vertical,0.57102,0.3,0.3
10083,B,553,57.76032,12.04054,57.75687,12.03345,37.268,Vertical,0.57102,0.3,0.3
10084,A,438,57.66656,11.94162,57.65667,11.9206,29.1865,Vertical,1.66927,0.3,0.3
10084,B,437,57.65667,11.9206,57.66656,11.94162,28.1785,Vertical,1.66927,0.3,0.3
10085,A,330,57.70993,11.91663,57.72355,11.8898,32.445,Vertical,2.20334,0.3,0.3
10085,B,327,57.72355,11.8898,57.70993,11.91663,33.257,Vertical,2.20334,0.3,0.3
10086,A,323,57.69975,11.89686,57.72355,11.8898,37.296,Vertical,2.68259,0.3,0.3
10086,B,324,57.72355,11.8898,57.69975,11.89686,38.556,Vertical,2.68259,0.3,0.3
10087,A,598,57.7417,12.02903,57.75606,12.06644,28.2065,Vertical,2.74183,0.3,0.3
10087,B,597,57.75606,12.06644,57.7417,12.02903,29.2145,Vertical,2.74183,0.3,0.3
10088,A,2,57.72416,11.90373,57.7147,11.91276,37.324,Vertical,1.18227,0.3,0.3
10088,B,1,57.7147,11.91276,57.72416,11.90373,38.584,Vertical,1.18227,0.3,0.3
10089,A,454,57.71721,11.93949,57.75216,11.9591,28.2625,Vertical,4.06264,0.3,0.3
10089,B,453,57.75216,11.9591,57.71721,11.93949,29.2705,Vertical,4.06264,0.3,0.3
10090,A,452,57.69003,11.96478,57.70321,11.95678,32.389,Vertical,1.54217,0.3,0.3
10090,B,451,57.70321,11.95678,57.69003,11.96478,33.201,Vertical,1.54217,0.3,0.3
10091,A,572,57.7327,12.00938,57.71181,11.98477,32.333,Vertical,2.74868,0.3,0.3
10091,B,571,57.71181,11.98477,57.7327,12.00938,33.145,Vertical,2.74868,0.3,0.3
10092,A,12,57.70047,11.93358,57.69174,11.92386,37.268,Vertical,1.13255,0.3,0.3
10092,B,11,57.69174,11.92386,57.70047,11.93358,38.528,Vertical,1.13255,0.3,0.3
10093,A,449,57.68495,11.97409,57.69003,11.96478,38.528,Vertical,0.79311,0.3,0.3
